a piece of cake | проще простого
and | и
as a result | в результате
as soon as possible | как можно скорее
at home | дома
at night | ночью
at noon | в полдень
at the end of the day | в итоге
back to square one | вернуться к началу
bear | медведь
because | потому что
bed | кровать
better late than never | лучше поздно, чем никогда
big | большой
big black cat | большая чёрная кошка
big city | большой город
big dog | большая собака
big game | большая игра
bird | птица
black | чёрный
black and white | черным по белому
black cat | чёрная кошка
black dog | чёрная собака
blue | синий
book | книга
break | ломать
break a leg | ни пуха ни пера
break down | сломаться
break in | вломиться
break out | вспыхнуть
break up | расстаться
brown | коричневый
burn the midnight oil | работать допоздна
but | но
by the way | кстати
call back | перезвонить
call it a day | заканчивать на сегодня
call off | отменить
call out | выкрикнуть
call up | позвонить
carry on | продолжать
carry out | проводить
cat | кошка
check in | зарегистрироваться
check out | выписаться
city | город
classical music | классическая музыка
close file | закрыть файл
close the door | закрой дверь
close window | закрытое окно
come | приходить
come across | наткнуться
come along | пойти вместе
come back | возвращаться
come early | приходить рано
come first | быть первым
come in | входи
come late | приходить поздно
come out | выходить
come prepared | приходить подготовленным
come second | быть вторым
come true | сбываться
come up with | придумать
computer | компьютер
computer game | компьютерная игра
computer mouse | компьютерная мышь
copy | копировать
costs an arm and a leg | стоит целое состояние
cut | вырезать
dark green | тёмно-зелёный
do homework | делать домашнюю работу
do housework | делать работу по дому
do nothing | ничего не делать
do sports | заниматься спортом
do the dishes | мыть посуду
do the laundry | стирать
do your best | старайся изо всех сил
dog | собака
dog house | собачья конура
dog house blues | тоска в конуре
door | дверь
easy | лёгкий
excuse me | извините
exit | выход
fall | падать
fall apart | развалиться
fall asleep | заснуть
fall behind | отстать
fall down | свалиться
fast | быстрый
file | файл
fish | рыба
for example | например
fox | лиса
friday | пятница
game | игра
get | получать
get along | ладить
get back | вернуться
get better | становиться лучше
get bored | скучать
get cold | замёрзнуть
get divorced | развестись
get down | спускаться
get dressed | одеться
get fired | быть уволенным
get hired | наняться
get hungry | проголодаться
get in | садиться (в машину)
get lost | потеряться
get married | пожениться
get off | сходить
get on | садиться (в транспорт)
get out | выходить
get over | преодолеть
get ready | подготовиться
get started | начать
get thirsty | испытывать жажду
get tired | устать
get undressed | раздеться
get up | вставать
get warm | согреться
get worse | становиться хуже
give away | раздавать
give back | вернуть
give in | уступать
give off | издавать (запах)
give up | сдаваться
go | идти
go ahead | продолжай
go away | уходи
go back | возвращаться
go home | иди домой
go on | продолжать
go outside | выйти на улицу
go to bed | ложиться спать
go to school | идти в школу
go to work | идти на работу
gold fish | золотая рыбка
good afternoon | добрый день
good evening | добрый вечер
good morning | доброе утро
good night | спокойной ночи
gray | серый
green | зелёный
guitar | гитара
hang in there | держись
happy new year | с новым годом
hard | трудный
have a look | взглянуть
have a meeting | проводить встречу
have a rest | отдыхать
have a talk | поговорить
have a walk | прогуляться
have breakfast | завтракать
have dinner | ужинать
have fun | веселиться
have lunch | обедать
hello | привет
hello world | привет, мир
hi | привет
history book | книга по истории
hit the sack | завалиться спать
home | дом
house | дом
how are you | как дела
however | однако
i am fine | я в порядке
in a nutshell | в двух словах
in addition | кроме того
in the evening | вечером
in the morning | по утрам
keep in touch | оставаться на связи
keep on | продолжать
keep up | не отставать
last year | прошлый год
library | библиотека
light blue | голубой
lion | лев
little bird | пташка
long story short | короче говоря
look | смотреть
look after | присматривать
look ahead | смотреть вперёд
look alike | выглядеть
look around | осмотреться
look at | смотреть на
look back | смотреть назад
look better | выглядеть
look busy | выглядеть
look far | выглядеть
look for | искать
look forward | ожидать
look forward to | с нетерпением ждать
look into | изучать
look like | выглядеть
look lively | выглядеть
